RACE_ETH_CODE|RACE_ETH_NAME
2055|Mexican Indian (Edit Generated)
2056|Amuzgo (Edit Generated)
2058|Aztec (Edit Generated)
2059|Chatino (Edit Generated)
2060|Chinantec (Edit Generated)
2061|Chocho (Edit Generated)
2062|Concho (Edit Generated)
2063|Cora (Edit Generated)
2064|Cochimi (Edit Generated)
2065|Cuicatec (Edit Generated)
2066|Huastec (Edit Generated)
2067|Huave (Edit Generated)
2068|Huichol (Edit Generated)
2069|Ixcatec (Edit Generated)
2070|Lacandon (Edit Generated)
2071|Lagunero (Edit Generated)
2072|Mazahua (Edit Generated)
2073|Mazatec (Edit Generated)
2074|Mixe (Edit Generated)
2075|Mixtec (Edit Generated)
2076|Nahuatl (Edit Generated)
2077|Olmec (Edit Generated)
2078|Opata (Edit Generated)
2079|Otomi (Edit Generated)
2080|Popoluca (Edit Generated)
2081|Seri (Edit Generated)
2082|Tarahumara (Raramuri) (Edit Generated)
2083|Tarasco (Purepecha) (Edit Generated)
2084|Tepehua (Edit Generated)
2085|Tequistlatec (Edit Generated)
2086|Tlapanec (Edit Generated)
2087|Tojolabal (Edit Generated)
2088|Toltec (Edit Generated)
2089|Triqui (Trique) (Edit Generated)
2090|Tzeltal (Edit Generated)
2091|Tzotzil (Edit Generated)
2092|Zapotec (Edit Generated)
2093|Zoque (Edit Generated)
2094|Mexican American Indian (Edit Generated)
2095|Mexican Indian, Not Elsewhere Classified (Edit Generated)
2096|Chichimeca (Edit Generated)
2100|Costa Rican
2101|Costa Rican Indian (Edit Generated)
2110|Guatemalan
2111|Guatemalan Indian (Edit Generated)
2112|Guatemalan Mayan (Edit Generated)
2120|Honduran
2121|Honduran Indian (Edit Generated)
2130|Nicaraguan
2131|Nicaraguan Indian (Edit Generated)
2140|Panamanian
2141|Canal Zone
2142|Panamanian Indian (Edit Generated)
2151|Salvadoran
2152|Salvadoran Indian (Edit Generated)
2160|Central American
2161|Central American Indian (Edit Generated)
2162|Cakchiquel (Edit Generated)
2163|Choco (Edit Generated)
2164|Guaymi (Edit Generated)
2169|Kanjobal (Edit Generated)
2170|Kekchi (Edit Generated)
2171|Kuna Indian (Edit Generated)
2172|Lenca (Edit Generated)
2173|Maya Central American (Edit Generated)
2174|Miskito (Edit Generated)
2176|Pipil (Edit Generated)
2177|Quiche (Edit Generated)
2178|Rama (Edit Generated)
2179|Sumo (Edit Generated)
2180|Nahua (Edit Generated)
2181|Central American Indian, Not Elsewhere Classified (Edit Generated)
2200|Argentinean
2201|Argentinean Indian (Edit Generated)
2210|Bolivian
2211|Bolivian Indian (Edit Generated)
2220|Chilean
2221|Chilean Indian (Edit Generated)
2231|Colombian
2232|Colombian Indian (Edit Generated)
2240|Ecuadorian
2241|Ecuadorian Indian (Edit Generated)
2250|Paraguayan
2251|Paraguayan Indian (Edit Generated)
2260|Peruvian
2261|Peruvian Indian (Edit Generated)
2270|Uruguayan
2271|Uruguayan Indian (Edit Generated)
2275|Venezuelan
2276|Venezuelan Indian (Edit Generated)
2280|South American
2281|South American Indian (Edit Generated)
2282|Ache Indian (Edit Generated)
2283|Amazon Indian (Edit Generated)
2284|Andean Indian (Edit Generated)
2285|Arawak (Edit Generated)
2286|Aymara (Edit Generated)
2287|Guarani (Edit Generated)
2288|Inca (Edit Generated)
2289|Mapuche (Araucanian) (Edit Generated)
2290|Maya South American (Edit Generated)
2291|Quechua (Edit Generated)
2292|Quichua (Edit Generated)
2293|Tehuelche (Edit Generated)
2294|Tupi (Edit Generated)
2295|Zaparo (Edit Generated)
2296|South American Indian, Not Elsewhere Classified (Edit Generated)
2300|Caribbean Hispanic
2301|Caribbean Indian (Edit Generated)
2302|Carib (Edit Generated)
2303|Taino (Edit Generated)
2304|Caribbean Indian, Not Elsewhere Classified (Edit Generated)
2310|Yes, Cuban (Detailed Checkbox)
2311|Cuban
2312|Cuban Indian (Edit Generated)
2321|Dominican
2322|Dominican Indian (Edit Generated)
2330|Yes, Puerto Rican (Detailed Checkbox)
2331|Puerto Rican
2332|Puerto Rican Indian (Edit Generated)
2400|Spaniard
2410|Andalusian
2420|Asturian
2430|Castillian
2440|Catalan(a)
2450|Balearic Islander
2460|Gallego(a)
2470|Valencian
2480|Canarian
2490|Spanish Basque
2500|Afro Latino(a)
2510|Garifuna
2600|Latin American
2610|Latin
2620|Latino(a)
2621|Latinx
2630|Spanish
2640|Californio
2650|Tejano(a)
2660|Nuevo Mexicano(a)
2670|Spanish American
2671|Spanish American Indian (Edit Generated)
2672|Spanish American Indian, Not Elsewhere Classified (Edit Generated)
2690|Mesoamerican Indian (Hispanic)
2691|Mayo (Edit Generated)
2692|Maya (Edit Generated)
2693|Mesoamerican Indian, Not Elsewhere Classified (Edit Generated)
2790|Yes, another Hispanic, Latino, or Spanish origin (Checkbox)
2791|Mestizo(a)
2799|Hispanic Responses, Not Elsewhere Classified
3000|Black or African Am. (Checkbox)
3001|Black or African American (Write-in)
3002|Black American (By Checkbox)
3003|Black American (By Write-in)
3004|Black (Edit Generated)
3011|African American
3015|Afro-American
3016|Afro
3020|Black
3025|Negro
3030|Nigritian
3100|African
3105|Angolan
3110|Beninese (formerly Dahomey)
3115|Bisseau-Guinean
3120|Burkinabe (Burkina Faso; formerly the Republic of Upper Volta)
3125|Burundian
3130|Cameroonian
3135|Central African (Central African Republic)
3140|Chadian
3145|Congolese (Democratic Republic of the Congo [formerly Zaire])
3150|Djiboutian
3155|Equatorial Guinean
3160|Eritrean
3166|Ethiopian
3170|Gabonese
3175|Gambian
3180|Ghanaian
3185|Guinean
3190|Ivoirian
3195|Kenyan
3200|Liberian
3205|Malagasy
3210|Malawian
3215|Malian
3220|Motswana (Botswana)
3225|Mozambican
3230|Namibian
3236|Nigerian (Nigeria)
3237|Yoruba
3238|Igbo
3245|Nigerien (Niger)
3250|Rwandan
3255|Senegalese
3260|Sierra Leonean
3266|Somali
3270|South African
3275|South Sudanese
3280|Sudanese
3285|Swazi
3290|Tanzanian
3295|Togolese
3300|Ugandan
3305|Zambian
3310|Zimbabwean
3400|Fulani
3404|Sub-Saharan African Responses, Not Elsewhere Classified
3405|Anguillan
3410|Antiguan and Barbudan
3415|Bahamian
3420|Barbadian
3425|British Virgin Islander
3430|Dominica Islander
3435|Grenadian
3441|Haitian
3446|Jamaican
3450|Kittian and Nevisian
3455|Montserratian
3460|St. Lucian
3465|Trinidadian and Tobagonian
3470|U.S. Virgin Islander
3471|St. Thomas Islander
3472|St. Croix Islander
3475|Vincentian
3480|West Indian
3700|Black Caribbean (Edit Generated)
3704|Caribbean Responses, Not Elsewhere Classified
3709|Black ethnic group, Not Elsewhere Classified
4000|Asian (Checkbox)
4001|Asian
4002|Asian American (By checkbox)
4003|Asian American (By Write-In)
4004|Asian (Edit Generated)
4010|East Asian
4020|Chinese (Detailed Checkbox)
4021|Chinese
4022|Hakka
4023|Han
4024|Hong Kong
4025|Macanese
4026|Tibetan
4040|Japanese (Detailed Checkbox)
4041|Japanese
4042|Okinawan
4043|Iwo Jiman
4050|Korean (Detailed Checkbox)
4051|Korean
4060|Mongolian
4070|Taiwanese
4080|Hmong
4100|Central Asian
4110|Kazakh
4120|Kyrgyz
4130|Tajik
4140|Turkmen
4150|Uzbek
4160|Afghan
4200|South Asian
4220|Asian Indian (Detailed Checkbox)
4221|Asian Indian
4223|Bengali
4224|Punjabi
4240|Bangladeshi
4260|Bhutanese
4270|Maldivian
4280|Nepalese
4290|Pakistani
4305|Sikh
4310|Sindhi
4320|Sri Lankan
4400|Southeast Asian
4410|Bruneian
4420|Burmese
4440|Cambodian
4441|Khmer
4450|Filipino (Detailed Checkbox)
4451|Filipino
4460|Indonesian
4470|Laotian
4480|Malaysian
4490|Mien
4500|Singaporean
4510|Thai
4520|Vietnamese (Detailed Checkbox)
4521|Vietnamese
4522|Montagnard
4523|Cham
4620|Buryat
4630|Indo
4640|Indo-Chinese
4650|Kalmyk
4670|Kuki
4680|Lahu
4690|Malay
4700|Mizo
4720|Pashtun
4730|Tai Dam
4750|Urdu
4760|Timorese
4790|Other Asian (Checkbox)
4791|Turkic (Asian Turkic - edit generated)
4799|Asian Responses, Not Elsewhere Classified
5000|American Indian or Alaska Native (Checkbox)
5001|American Indian or Alaska Native (Write-in)
5002|AIAN American (By Checkbox)
5003|AIAN American (By Write-in)
5004|American Indian or Alaska Native (Edit Generated)
5010|Alaska Indian
5011|Alaska Native
5020|Alaskan Athabascan
5021|Ahtna, Inc. Corporation
5022|Alanvik
5023|Alatna Village
5024|Alexander
5025|Allakaket Village
5026|Anvik Village
5027|Arctic Village
5028|Beaver Village
5029|Birch Creek Tribe
5030|Chalkyitsik Village
5031|Cheesh-Na Tribe (Chistochina)
5032|Chickaloon Native Village
5033|Circle Native Community
5034|Cook Inlet
5035|Copper River
5036|Doyon
5037|Eklutna Native Village
5038|Evansville Village (Bettles Field)
5039|Galena Village (Louden Village)
5040|Gulkana Village Council
5041|Healy Lake Village
5042|Holy Cross Tribe
5043|Hughes Village
5044|Huslia Village
5045|Knik Tribe
5046|Koyukuk Native Village
5047|Lake Minchumina
5048|Lime Village
5049|Manley Hot Springs Village
5050|McGrath Native Village
5051|Mentasta Traditional Council
5052|Native Village of Cantwell
5053|Native Village of Chitina
5054|Native Village of Eagle
5055|Native Village of Fort Yukon
5056|Native Village of Gakona
5057|Native Village of Kluti Kaah (Copper Center)
5058|Native Village of Minto
5059|Native Village of Ruby
5060|Native Village of Stevens
5061|Native Village of Tanacross
5062|Native Village of Tanana
5063|Native Village of Tazlina
5064|Native Village of Tetlin
5065|Native Village of Tyonek
5066|Nenana Native Association
5067|Nikolai Village
5068|Ninilchik Village
5069|Nondalton Village
5070|Northway Village
5071|Nulato Village
5072|Organized Village of Grayling (Holikachuk)
5073|Pedro Bay Village
5074|Rampart Village
5075|Seldovia Village Tribe
5076|Shageluk Native Village
5077|Slana
5078|Takotna Village
5079|Tanana Chiefs
5080|Telida Village
5081|Tok
5082|Village of Dot Lake
5083|Village of Iliamna
5084|Village of Kaltag
5085|Salamatof Tribe
5086|Village of Stony River
5087|Village of Venetie
5088|Wiseman
5089|Kenaitze Indian Tribe
5120|Aleut
5121|Agdaagux Tribe of King Cove
5122|Aleut Corporation
5123|Alutiiq
5124|Bristol Bay Aleut
5125|Chignik Bay Tribal Council (Native Village of Chignik)
5126|Chignik Lake Village
5127|Chugach Aleut
5128|Chugach Corporation
5129|Egegik Village
5130|Igiugig Village
5131|Ivanof Bay Village
5132|Kaguyak Village
5134|King Cove
5135|King Salmon Tribe
5136|Kodiak
5137|Kokhanok Village
5138|Koniag Aleut
5139|Tangirnaq Native Village
5140|Native Village of Afognak
5141|Native Village of Akhiok
5142|Native Village of Akutan
5143|Native Village of Atka
5144|Native Village of Belkofski
5145|Native Village of Chanega (Chenega)
5146|Native Village of Chignik Lagoon
5147|Native Village of Eyak (Cordova)
5148|Native Village of False Pass
5149|Native Village of Kanatak
5150|Native Village of Karluk
5151|Native Village of Larsen Bay
5152|Native Village of Nanwalek (English Bay)
5153|Native Village of Nelson Lagoon
5154|Native Village of Nikolski
5155|Native Village of Ouzinkie
5156|Native Village of Perryville
5157|Native Village of Pilot Point
5158|Native Village of Port Graham
5159|Native Village of Port Heiden
5160|Native Village of Port Lions
5161|Native Village of Tatitlek
5162|Native Village of Unga
5163|Pauloff Harbor Village
5164|Qagan Tayagungin Tribe of Sand Point Village
5165|Qawalangin Tribe of Unalaska
5166|Saint George Island
5167|Saint Paul Island
5168|South Naknek Village
5169|Sugpiaq
5170|Sun?aq Tribe of Kodiak
5171|Ugashik Village
5172|Unangan (Unalaska)
5173|Alutiiq Tribe of Old Harbor
5220|Eskimo
5221|Inupiat (Inupiaq)
5222|American Eskimo
5223|Arctic Slope Corporation
5224|Atqasuk Village (Atkasook)
5225|Bering Straits Inupiat
5226|Chevak Native Village
5227|Chinik Eskimo Community (Golovin)
5228|Greenland Inuit
5229|Inuit
5230|Inupiat Community of the Arctic Slope
5231|Kaktovik Village (Barter Island)
5232|Kawerak
5233|King Island Native Community
5234|Nana Inupiat
5235|Native Village of Ambler
5236|Native Village of Barrow Inupiat Traditional Government
5237|Native Village of Brevig Mission
5238|Native Village of Buckland
5239|Native Village of Council
5240|Native Village of Deering
5241|Native Village of Diomede (Inalik)
5242|Native Village of Elim
5243|Native Village of Kiana
5244|Native Village of Kivalina
5245|Native Village of Kobuk
5246|Native Village of Kotzebue
5247|Native Village of Koyuk
5248|Native Village of Mary?s Igloo
5249|Native Village of Mekoryuk
5250|Native Village of Noatak
5251|Native Village of Nuiqsut (Nooiksut)
5252|Native Village of Point Hope
5253|Native Village of Point Lay
5254|Native Village of Selawik
5255|Native Village of Shaktoolik
5256|Native Village of Shishmaref
5257|Native Village of Shungnak
5258|Native Village of Teller
5259|Native Village of Unalakleet
5260|Native Village of Wales
5261|Native Village of White Mountain
5262|Nome Eskimo Community
5263|Noorvik Native Community
5264|Village of Anaktuvuk Pass
5265|Village of Solomon
5266|Village of Wainwright
5320|Tlingit
5321|Central Council of the Tlingit and Haida Indian Tribes
5322|Chilkat Indian Village (Klukwan)
5323|Chilkoot Indian Association (Haines)
5324|Craig Tribal Association
5325|Douglas Indian Association
5326|Haida
5327|Hoonah Indian Association
5328|Hydaburg Cooperative Association
5329|Ketchikan Indian Corporation
5330|Klawock Cooperative Association
5331|Organized Village of Kake
5332|Organized Village of Kasaan
5333|Organized Village of Saxman
5334|Pelican
5335|Petersburg Indian Association
5336|Sealaska Corporation (Southeast Alaska)
5337|Sitka Tribe of Alaska
5338|Skagway Village
5339|Tenakee Springs
5340|Angoon Community Association
5341|Wrangell Cooperative Association
5342|Yakutat Tlingit Tribe
5395|Tsimshian
5396|Metlakatla Indian Community, Annette Island Reserve
5410|Yup?ik (Yup?ik Eskimo)
5411|Akiachak Native Community
5412|Akiak Native Community
5413|Algaaciq Native Village (St. Mary?s)
5414|Asa?carsarmiut Tribe
5415|Bristol Bay
5416|Calista
5417|Chuloonawick Native Village
5418|Curyung Tribal Council (Native Village of Dillingham)
5419|Native Village of Ekwok
5420|Emmonak Village
5421|Iqugmuit Traditional Council
5422|Levelock Village
5423|Manokotak Village
5424|Naknek Native Village
5425|Native Village of Aleknagik
5426|Native Village of Chuathbaluk
5427|Native Village of Eek
5428|Native Village of Ekuk
5429|Native Village of Gambell
5430|Native Village of Georgetown
5431|Native Village of Goodnews Bay
5432|Native Village of Hamilton
5433|Native Village of Hooper Bay (Naparyarmiut)
5434|Kasigluk Traditional Elders Council
5435|Native Village of Kipnuk
5436|Native Village of Kongiganak
5437|Native Village of Kwigillingok
5438|Native Village of Kwinhagak (Quinhagak)
5439|Native Village of Marshall (Fortuna Ledge)
5440|Native Village of Napaimute
5441|Native Village of Napakiak
5442|Native Village of Napaskiak
5443|Native Village of Nightmute
5444|Native Village of Nunam Iqua
5445|Native Village of Nunapitchuk
5446|Pitka's Point Traditional Council
5447|Native Village of Saint Michael
5448|Native Village of Savoonga
5449|Native Village of Scammon Bay
5450|Native Village of Tuntutuliak
5451|Native Village of Tununak
5452|New Koliganek Village Council
5453|New Stuyahok Village
5454|Newhalen Village
5455|Newtok Village
5456|Nunakauyarmiut Tribe (Toksook Bay)
5457|Organized Village of Kwethluk
5458|Orutsararmiut Traditional Native Council
5459|Oscarville Traditional Village
5460|Pilot Station Traditional Village
5461|Platinum Traditional Village
5462|Portage Creek Village (Ohgsenakale)
5463|Siberian Yupik
5464|Stebbins Community Association
5465|Traditional Village of Togiak
5466|Tuluksak Native Community
5467|Twin Hills Village
5468|Umkumiut Native Village
5469|Village of Alakanuk
5470|Village of Aniak
5471|Village of Atmautluak
5472|Village of Bill Moore?s Slough
5473|Village of Chefornak
5474|Village of Clark?s Point
5475|Village of Crooked Creek
5476|Village of Kalskag
5477|Village of Kotlik
5478|Village of Lower Kalskag
5479|Village of Ohogamiut
5480|Village of Red Devil
5481|Village of Sleetmute
5482|Yupiit of Andreafski
5483|Native Village of Paimiut
5500|American Indian
5505|Abenaki Nation of Missisquoi
5506|Elnu Abenaki Tribe
5507|Koasek (Cowasuck) Traditional Band of the Sovereign Abenaki Nation
5508|Nulhegan Band of the Coosuk Abenaki Nation
5510|Ak-Chin Indian Community
5512|Algonquian
5514|Apache
5515|Apache Tribe of Oklahoma
5516|Fort Sill Apache Tribe of Oklahoma
5517|Jicarilla Apache Nation
5518|Lipan Apache
5519|Mescalero Apache Tribe of the Mescalero Reservation, New Mexico
5520|San Carlos Apache Tribe of the San Carlos Reservation
5521|Tonto Apache Tribe of Arizona
5522|White Mountain Apache Tribe of the Fort Apache Reservation, Arizona
5524|Arapaho
5525|Arapaho Tribe of the Wind River Reservation, Wyoming
5526|Northern Arapaho Tribe
5527|Southern Arapaho
5529|Assiniboine
5531|Assiniboine and Sioux Tribes of The Fort Peck Indian Reservation, Montana
5536|Blackfeet Tribe of the Blackfeet Indian Reservation of Montana
5541|Brotherton
5546|Burt Lake Band of Ottawa and Chippewa Indians
5551|Caddo
5552|Caddo Adais Indians
5553|Caddo Nation of Oklahoma
5554|Natchitoches Tribe of Louisiana
5556|Cahuilla
5557|Agua Caliente Band of Cahuilla Indians
5558|Augustine Band of Cahuilla Indians, California
5559|Cabazon Band of Mission Indians
5560|Los Coyotes Band of Cahuilla and Cupeno Indians
5561|Morongo Band of Mission Indians, California
5562|Ramona Band of Cahuilla, California
5563|Santa Rosa Band of Cahuilla Indians
5564|Torres Martinez Desert Cahuilla Indians
5566|Bear River Band of Rohnerville Rancheria
5567|Cahto Indian Tribe of the Laytonville Rancheria
5568|California Valley Miwok Tribe
5569|Cher-Ae Heights Indian Community of the Trinidad Rancheria
5570|Chimariko
5572|Kern Valley Indian Community
5574|Red Wood
5575|Redding Rancheria, California
5576|Santa Rosa Indian Community
5577|Takelma
5578|Wappo
5579|Yana
5580|Yuki
5586|Catawba Indian Nation
5588|Cayuse
5590|Confederated Tribes of the Chehalis Reservation
5592|Chemakuan
5593|Hoh Indian Tribe
5594|Quileute Tribe of the Quileute Reservation, Washington
5597|Chemehuevi Indian Tribe
5599|Cherokee
5600|Cher-O-Creek Intratribal Indians
5601|Cherokee Alabama
5602|Cherokee Bear Clan of South Carolina
5603|Cherokee Nation
5604|Cherokee of Georgia
5605|Cherokee Tribe of Northeast Alabama
5606|Eastern Band of Cherokee Indians
5607|Echota Cherokee Tribe of Alabama
5608|Four Winds Cherokee
5609|Georgia Eastern Cherokee
5610|Northern Cherokee Nation of Missouri and Arkansas
5611|Piedmont American Indian Association-Lower Eastern Cherokee Nation SC (PAIA)
5612|Sac River Band of the Chickamauga-Cherokee
5613|Southeastern Cherokee Council
5614|Tuscola
5615|United Cherokee Ani-Yun-Wiya Nation
5616|United Keetoowah Band of Cherokee Indians in Oklahoma
5617|White River Band of the Chickamauga-Cherokee
5619|Cheyenne
5620|Northern Cheyenne Tribe of the Northern Cheyenne Reservation, Montana
5621|Southern Cheyenne
5624|Cheyenne and Arapaho Tribes, Oklahoma
5629|Chickahominy Indian Tribe - Eastern Division
5630|Chickahominy Indian Tribe
5634|Chaloklowa Chickasaw
5635|The Chickasaw Nation
5639|Chinook
5640|Clatsop
5641|Columbia River Chinook
5642|Kathlamet
5643|Upper Chinook
5644|Wakiakum Chinook
5645|Willapa Chinook
5646|Wishram
5649|Chippewa
5650|Bad River Band of the Lake Superior Tribe
5651|Bay Mills Indian Community
5652|Bois Forte Band (Nett Lake)
5653|Fond du Lac Band
5654|Grand Portage Band
5655|Grand Traverse Band of Ottawa and Chippewa Indians
5656|Keweenaw Bay Indian Community
5657|Lac Courte Oreilles Band of Lake Superior Chippewa
5658|Lac du Flambeau Band of Lake Superior Chippewa Indian
5659|Lac Vieux Desert Band of Lake Superior Chippewa Indians
5660|Lake Superior Chippewa
5661|Leech Lake Band
5662|Little Shell Tribe of Chippewa Indians of Montana
5663|Mille Lacs Band
5664|Minnesota Chippewa
5665|Red Cliff Band of Lake Superior Chippewa
5666|Red Lake Band of Chippewa Indians
5667|Saginaw Chippewa Indian Tribe
5668|Sault Ste. Marie Tribe of Chippewa Indians
5669|Sokaogon Chippewa Community
5670|St. Croix Chippewa Indians of Wisconsin
5671|Swan Creek Black River Confederate Tribe
5672|Turtle Mountain Band of Chippewa Indians of North Dakota
5673|White Earth Band
5679|Chippewa Cree Indians of the Rocky Boy's Reservation, Montana
5684|Chitimacha Tribe of Louisiana
5685|Pointe Au-Chien Indian Tribe
5689|Choctaw
5690|The Choctaw Nation of Oklahoma
5691|Clifton Choctaw Tribe of Louisiana
5692|Jena Band of Choctaw Indians
5693|Louisiana Choctaw Tribe
5694|Mississippi Band of Choctaw Indians
5695|MOWA Band of Choctaw Indians
5699|Choctaw-Apache Community of Ebarb
5701|Chumash
5702|San Luis Rey Mission Indian
5703|Santa Ynez Band of Chumash Mission Indians
5706|Clear Lake
5708|Coeur D?Alene Tribe
5710|Coharie Indian Tribe
5712|Colorado River Indian Tribes
5714|Confederated Tribes of the Colville Reservation
5716|Comanche Nation, Oklahoma
5718|Coos
5720|Confederated Tribes of the Coos, Lower Umpqua, and Siuslaw Indians
5722|Coquille Indian Tribe
5724|Costanoan
5726|Coushatta
5727|Alabama-Coushatta Tribe of Texas
5728|Coushatta Tribe of Louisiana
5731|Cowlitz Indian Tribe
5733|Cree
5735|The Muscogee (Creek) Nation
5736|Alabama Quassarte Tribal Town
5737|Eastern Creek
5738|Eastern Muscogee
5739|Kialegee Tribal Town
5740|The Southeastern Mvskoke Nation, Inc.
5741|Lower Muskogee Creek Tribe
5742|Ma-Chis Lower Creek Indian Tribe of Alabama
5743|Alabama Creek
5744|Poarch Band of Creeks
5745|Principal Creek Indian Nation
5746|Thlopthlocco Tribal Town
5747|Tuckabachee
5750|Croatan
5752|Crow Tribe of Montana
5754|Cumberland County Association for Indian People
5756|Cupeno
5757|Agua Caliente
5761|Delaware (Lenni-Lenape)
5762|Allegheny Lenape
5763|Delaware Nation
5764|Delaware Tribe of Indians, Oklahoma
5765|Munsee
5766|New Jersey Sand Hill Band of Indians, Inc
5767|Ramapough Lenape Nation (Ramapough Mountain)
5771|Kumeyaay (Diegueno)
5772|Barona Group of Capitan Grande Band
5773|Campo Band of Diegueno Mission Indians
5774|Capitan Grande Band of Diegueno Mission Indians
5775|Ewiiaapaayp Band of Kumeyaay Indians
5776|Iipay Nation of Santa Ysabel
5777|Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation
5778|Jamul Indian Village
5779|La Posta Band of Diegueno Mission Indians
5780|Manzanita Band of Diegueno Mission Indians
5781|Mesa Grande Band of Diegueno Mission Indians
5782|San Pasqual Band of Diegueno Mission Indians
5783|Sycuan Band of the Kumeyaay Nation
5784|Viejas (Baron Long) Group of Capitan Grande Band
5786|Atakapa
5787|Beaver Creek Indians
5788|Biloxi
5789|Biloxi-Chitimacha Confederation
5790|Cheroenhaka (Nottoway)
5791|Georgetown
5792|Golden Hill Paugussett
5793|Meherrin Indian Tribe
5794|Moor Indian
5795|Nansemond Indian Nation
5796|Edisto Natchez-Kusso Tribe of South Carolina (Natchez Indian Tribe)
5797|Nausu Waiwash
5798|Nottoway Indian Tribe of Virginia
5799|Patawomeck Indian Tribe of Virginia
5800|Pee Dee Indian Nation of Upper South Carolina
5801|Pee Dee Indian Tribe of South Carolina
5802|Pocomoke Acohonock
5803|Santee Indian Nation of South Carolina
5804|Santee Indian Organization
5805|Southeastern Indians
5806|Susquehanock
5807|The Waccamaw Indian People
5808|Tunica Biloxi Indian Tribe of Louisiana
5809|Waccamaw Siouan Indian Tribe
5810|Wassamasaw Tribe of Varnertown Indians
5811|Wicomico
5816|Esselen
5818|Fernandeno Tataviam Band of Mission Indians
5820|Fort Belknap Indian Community of the Fort Belknap Reservation
5822|Bannock
5823|Lemhi-Shoshone
5824|Shoshone-Bannock Tribes of the Fort Hall Reservation
5827|Fort McDowell Yavapai Nation
5829|Gabrieleno
5831|Confederated Tribes of the Grand Ronde Community of Oregon
5833|Gros Ventres
5834|Atsina
5838|Guilford Native American Association
5840|Haliwa-Saponi Indian Tribe
5842|Ho-Chunk Nation
5844|Hoopa Valley Tribe
5845|Trinity
5846|Whilkut
5849|Hoopa Extension
5851|Hopi Tribe of Arizona
5856|United Houma Nation
5858|Iowa (Tribe)
5859|Iowa Tribe of Kansas and Nebraska
5860|Iowa Tribe of Oklahoma
5863|Iroquois
5864|Cayuga Nation
5865|Mohawk
5866|Oneida
5867|Oneida Indian Nation
5868|Onondaga Nation
5869|Saint Regis Mohawk Tribe
5870|Seneca Nation of Indians
5872|Seneca-Cayuga Nation
5873|Tonawanda Band of Seneca
5874|Tuscarora Nation
5875|Wyandotte Nation
5878|Juaneno (Acjachemem)
5880|Kalispel Indian Community
5882|Karuk Tribe
5884|Kaw Nation
5886|Kickapoo
5887|Kickapoo Traditional Tribe of Texas
5888|Kickapoo Tribe of Indians of The Kickapoo Reservation in Kansas
5889|Kickapoo Tribe of Oklahoma
5891|Kiowa
5892|Kiowa Indian Tribe of Oklahoma
5896|Klamath Tribes
5898|Konkow
5900|Kootenai Tribe of Idaho
5905|Lassik
5907|Matinecock
5908|Montauk
5909|Poospatuck
