REGION_ID|REGION_TYPE|ITERATION_CODE|COUNT
11|STATE|0238|4
11|STATE|0306|-1
02|STATE|0238|0
11|STATE|0114|-1
02|STATE|0114|0
11|STATE|0185|3
02|STATE|0226|2
01|STATE|0294|1
01|STATE|0074|3
11|STATE|0074|2
02|STATE|0074|3
01|STATE|0003|1
11|STATE|0003|1
02|STATE|0003|-2
11|STATE|0294|-1
02002|COUNTY|3010|-21
01001|COUNTY|3010|-19
11001|COUNTY|3010|10
01002|COUNTY|3010|10
02001|COUNTY|3010|-7
01002|COUNTY|0113|8
01001|COUNTY|0225|53
01001|COUNTY|0113|1
01001|COUNTY|0293|7
02002|COUNTY|0113|13
11001|COUNTY|0113|-4
01001|COUNTY|0182|1
02001|COUNTY|0182|-1
11001|COUNTY|0225|20
01002|COUNTY|0293|-29
02002|COUNTY|0293|-15
01002|COUNTY|0225|19
11001|COUNTY|0293|-4
02001|COUNTY|0225|8
02002|COUNTY|0225|-6
01002|COUNTY|0182|32
02001|COUNTY|0113|62
02001|COUNTY|0293|16
02002|COUNTY|0182|10
02001|COUNTY|0071|-23
11001|COUNTY|0071|-9
02002|COUNTY|0071|65
01002|COUNTY|0071|-22
01001|COUNTY|0071|-6
02001|COUNTY|0002|-4
02002|COUNTY|0002|27
11001|COUNTY|0002|15
01001|COUNTY|0002|-18
01002|COUNTY|0002|8
11001|COUNTY|0182|9
01001|COUNTY|3040|2
02001|COUNTY|3011|13
02001|COUNTY|3040|-1
02002|COUNTY|3040|-4
11001|COUNTY|3040|2
02002|COUNTY|3011|-1
01002|COUNTY|3011|2
01002|COUNTY|0114|-2
01002|COUNTY|0306|-1
01001|COUNTY|0181|-3
02001|COUNTY|0238|-1
02002|COUNTY|0185|0
01002|COUNTY|0185|0
01002|COUNTY|0294|0
02002|COUNTY|0238|2
01001|COUNTY|0238|4
01002|COUNTY|0181|0
01001|COUNTY|0185|-6
11001|COUNTY|0181|5
01001|COUNTY|0306|2
01001|COUNTY|0226|1
02002|COUNTY|0181|-16
11001|COUNTY|0185|-5
02001|COUNTY|0306|0
02001|COUNTY|0114|9
02001|COUNTY|0185|4
01001|COUNTY|0114|9
02002|COUNTY|0294|5
02001|COUNTY|0181|17
01001|COUNTY|0294|24
11001|COUNTY|0238|4
02001|COUNTY|0226|0
02001|COUNTY|0070|-5
01001|COUNTY|0070|-2
11001|COUNTY|0074|0
01002|COUNTY|0070|-4
11001|COUNTY|0070|11
02002|COUNTY|0074|2
01001|COUNTY|0003|0
11001|COUNTY|0003|1
01002|COUNTY|0003|-23
02002|COUNTY|0003|-3
02002|COUNTY|0114|-3
11001|COUNTY|3011|-5
01002|COUNTY|3040|-2
02002|COUNTY|0226|-4
01001|COUNTY|3011|8
02001|COUNTY|0074|-4
02002|COUNTY|0306|-4
11001|COUNTY|0306|-9
02001|COUNTY|0294|6
11001|COUNTY|0226|-13
01002|COUNTY|0238|-8
01002|COUNTY|0074|-1
01001|COUNTY|0074|1
11001|COUNTY|0114|-5
01002|COUNTY|0226|0
02002|COUNTY|0070|-3
02001|COUNTY|0003|4
11001|COUNTY|0294|15
02002000002|TRACT|3010|53
02002000001|TRACT|3010|-1
02001000002|TRACT|3010|2
02001000001|TRACT|3010|2
01002000001|TRACT|3010|-63
01001000001|TRACT|3010|-1
02001000002|TRACT|0113|15
01001000002|TRACT|0113|4
02001000001|TRACT|0182|10
02002000002|TRACT|0225|37
01002000002|TRACT|0182|-1
01001000001|TRACT|0182|39
02002000001|TRACT|0225|-31
01002000002|TRACT|0113|-21
11001000100|TRACT|0225|32
02001000001|TRACT|0225|-42
02002000002|TRACT|0182|12
02001000002|TRACT|0182|-3
01001000001|TRACT|0113|21
01001000001|TRACT|0293|62
02001000001|TRACT|0293|6
01002000001|TRACT|0225|9
01002000001|TRACT|0182|-22
11001000100|TRACT|0293|13
02002000002|TRACT|0113|-9
01002000001|TRACT|0293|-4
01002000002|TRACT|0071|-4
02001000001|TRACT|0071|-7
02002000001|TRACT|0071|18
01002000001|TRACT|0071|-72
02002000002|TRACT|0071|-1
01001000001|TRACT|0071|-21
11001000100|TRACT|0071|5
01001000002|TRACT|0002|23
01002000001|TRACT|0002|6
02002000001|TRACT|0002|15
02001000001|TRACT|0002|-25
01002000002|TRACT|0002|-7
02002000002|TRACT|0002|3
11001000100|TRACT|0002|12
01002000002|TRACT|3010|-22
02002000002|TRACT|0293|-53
11001000100|TRACT|0113|-6
01001000001|TRACT|0225|39
01001000002|TRACT|0182|13
02002000001|TRACT|0182|-7
01001000002|TRACT|0293|-5
02001000001|TRACT|0113|38
02002000001|TRACT|0113|8
02002000001|TRACT|0293|-15
11001000100|TRACT|3010|9
01002000002|TRACT|0293|50
11001000100|TRACT|0182|-3
01001000002|TRACT|0225|76
02001000002|TRACT|0225|17
01002000001|TRACT|0113|39
02001000002|TRACT|0071|8
01002000002|TRACT|0225|-15
02001000002|TRACT|0002|-80
01001000001|TRACT|0002|1
02001000002|TRACT|0293|-23
01001000002|TRACT|3010|35
01001000002|TRACT|0071|-29
02002000002|TRACT|3011|-1
01001000001|TRACT|3040|2
01002000002|TRACT|3040|-1
02002000001|TRACT|3040|1
02001000002|TRACT|3011|-10
02001000001|TRACT|3011|2
01001000002|TRACT|3011|18
02001000001|TRACT|3040|3
01002000001|TRACT|3040|7
02002000001|TRACT|3011|2
11001000100|TRACT|3040|-12
01002000002|TRACT|3011|-2
01001000002|TRACT|3040|4
01002000001|TRACT|3011|-2
02002000001|TRACT|0294|8
02001000002|TRACT|0226|-1
02002000002|TRACT|0306|1
02002000002|TRACT|0226|3
02002000002|TRACT|0185|2
02001000002|TRACT|0185|-3
01002000001|TRACT|0238|0
01002000002|TRACT|0294|0
01001000002|TRACT|0114|-6
02002000001|TRACT|0185|-3
01001000002|TRACT|0226|4
02001000001|TRACT|0185|-1
01002000001|TRACT|0226|1
01001000001|TRACT|0181|8
02001000002|TRACT|0114|-1
01002000002|TRACT|0185|-4
02002000002|TRACT|0294|-6
11001000100|TRACT|0238|6
01001000002|TRACT|0294|-9
02002000001|TRACT|0181|1
02001000001|TRACT|0114|19
02001000001|TRACT|0306|2
02002000002|TRACT|0181|-1
02002000002|TRACT|0114|8
01001000001|TRACT|0238|4
11001000100|TRACT|0306|2
02002000001|TRACT|0226|-7
01002000001|TRACT|0306|-4
11001000100|TRACT|0114|8
02001000002|TRACT|0306|-10
02001000001|TRACT|0181|-1
02001000002|TRACT|0238|-13
02002000001|TRACT|0306|-4
01001000001|TRACT|0226|2
02002000002|TRACT|0238|0
01002000001|TRACT|0181|0
01001000001|TRACT|0114|-3
01001000002|TRACT|0185|-17
02002000001|TRACT|0238|-13
01002000002|TRACT|0114|0
01002000001|TRACT|0114|-2
02001000002|TRACT|0294|6
02001000002|TRACT|0181|-5
02001000001|TRACT|0226|-2
01001000002|TRACT|0306|-8
01002000001|TRACT|0185|6
01002000002|TRACT|0238|0
11001000100|TRACT|0185|-1
11001000100|TRACT|0294|8
01001000001|TRACT|0074|-15
11001000100|TRACT|0074|6
02001000002|TRACT|0070|-6
02001000001|TRACT|0074|-14
02002000002|TRACT|0070|-8
02001000001|TRACT|0070|1
01002000002|TRACT|0070|-36
01002000001|TRACT|0074|6
02002000001|TRACT|0070|22
01001000002|TRACT|0074|0
11001000100|TRACT|0070|-22
01001000002|TRACT|0070|21
02001000002|TRACT|0074|6
01002000002|TRACT|0074|0
02002000002|TRACT|0074|3
02002000002|TRACT|0003|-7
01002000002|TRACT|0003|-1
02002000001|TRACT|0003|4
02001000002|TRACT|0003|0
01001000002|TRACT|0003|-8
11001000100|TRACT|0003|-5
01001000002|TRACT|0181|3
01002000002|TRACT|0226|3
01001000001|TRACT|0306|0
01002000002|TRACT|0306|0
01001000001|TRACT|3011|1
11001000100|TRACT|0181|9
01001000002|TRACT|0238|-6
02002000002|TRACT|3040|1
01002000001|TRACT|0294|-2
02001000001|TRACT|0238|7
02001000001|TRACT|0003|-1
11001000100|TRACT|3011|-5
01001000001|TRACT|0294|-11
02002000001|TRACT|0074|-5
01001000001|TRACT|0070|2
11001000100|TRACT|0226|-3
02001000001|TRACT|0294|-1
02001000002|TRACT|3040|2
01001000001|TRACT|0185|-3
01002000001|TRACT|0070|-7
01002000001|TRACT|0003|9
02002000001|TRACT|0114|3
01001000001|TRACT|0003|-5
01002000002|TRACT|0181|0
22833|PLACE|3010|-59
0122800|PLACE|3010|1
0222800|PLACE|3010|1
0122800|PLACE|0113|-9
0222800|PLACE|0293|-24
0222800|PLACE|0182|-9
0122800|PLACE|0182|-26
22833|PLACE|0225|-6
22833|PLACE|0182|-44
22833|PLACE|0113|21
22833|PLACE|0293|7
0222800|PLACE|0225|-28
0122800|PLACE|0293|-11
0122800|PLACE|0225|21
0222800|PLACE|0113|2
0222800|PLACE|0071|30
22833|PLACE|0071|2
0122800|PLACE|0071|0
0122800|PLACE|0002|-2
22833|PLACE|0002|-16
0222800|PLACE|0002|10
22833|PLACE|3011|2
0122800|PLACE|3011|6
0222800|PLACE|3040|-2
0122800|PLACE|3040|7
22833|PLACE|3040|-8
0222800|PLACE|3011|1
0222800|PLACE|0306|-1
22833|PLACE|0181|4
22833|PLACE|0238|9
0122800|PLACE|0306|-4
22833|PLACE|0294|0
0222800|PLACE|0185|-2
22833|PLACE|0226|-8
0222800|PLACE|0294|2
0222800|PLACE|0181|8
22833|PLACE|0306|2
0222800|PLACE|0226|-1
0222800|PLACE|0114|-5
0122800|PLACE|0181|4
0122800|PLACE|0238|-4
0122800|PLACE|0185|4
0122800|PLACE|0226|2
0222800|PLACE|0238|2
0122800|PLACE|0074|0
22833|PLACE|0070|3
0122800|PLACE|0070|0
0222800|PLACE|0070|1
0222800|PLACE|0074|-1
22833|PLACE|0074|-5
22833|PLACE|0003|-8
0122800|PLACE|0003|2
0222800|PLACE|0003|-5
0122800|PLACE|0114|3
22833|PLACE|0185|-4
0122800|PLACE|0294|-2
22833|PLACE|0114|-3
0001|AIANNH|3010|-8
0003|AIANNH|3010|-39
0002|AIANNH|3010|2
0002|AIANNH|0113|-34
0003|AIANNH|0225|1
0003|AIANNH|0182|-29
0003|AIANNH|0293|1
0001|AIANNH|0113|27
0002|AIANNH|0182|74
0001|AIANNH|0293|16
0003|AIANNH|0113|47
0001|AIANNH|0225|2
0002|AIANNH|0225|-56
0001|AIANNH|0182|-58
0002|AIANNH|0293|1
0002|AIANNH|0071|-13
0003|AIANNH|0002|-10
0001|AIANNH|0002|-80
0002|AIANNH|0002|38
0001|AIANNH|0071|0
0003|AIANNH|0071|-26
0001|AIANNH|3011|-1
0002|AIANNH|3040|2
0003|AIANNH|3011|-3
0002|AIANNH|3011|0
0001|AIANNH|3040|0
0001|AIANNH|0226|-2
0001|AIANNH|0181|7
0001|AIANNH|0238|-2
0002|AIANNH|0114|-1
0003|AIANNH|0181|4
0003|AIANNH|0114|9
0003|AIANNH|0294|13
0002|AIANNH|0306|-2
0003|AIANNH|0306|4
0002|AIANNH|0294|-7
0002|AIANNH|0238|1
0001|AIANNH|0114|2
0001|AIANNH|0294|3
0003|AIANNH|0238|-1
0002|AIANNH|0185|-1
0003|AIANNH|0185|-2
0001|AIANNH|0306|1
0001|AIANNH|0185|16
0003|AIANNH|0226|-15
0002|AIANNH|0181|3
0002|AIANNH|0074|2
0003|AIANNH|0074|-5
0003|AIANNH|0070|-3
0001|AIANNH|0074|-1
0001|AIANNH|0070|-5
0003|AIANNH|0003|-3
0002|AIANNH|0003|-3
0002|AIANNH|0070|6
0003|AIANNH|3040|1
0001|AIANNH|0003|-2
0002|AIANNH|0226|5
72|PR-STATE|3080|19
72|PR-STATE|0802|-46
72|PR-STATE|0800|-7
72|PR-STATE|0900|-10
72|PR-STATE|0902|-6
72|PR-STATE|0804|-41
72|PR-STATE|0904|0
72|PR-STATE|3081|-1
72|PR-STATE|0801|0
72|PR-STATE|0803|-2
72|PR-STATE|0805|-3
72|PR-STATE|0115|2
72|PR-STATE|0905|-5
72|PR-STATE|0901|3
72|PR-STATE|3042|0
72|PR-STATE|0903|2
72|PR-STATE|0004|0
72|PR-STATE|3010|4
72|PR-STATE|0293|32
72|PR-STATE|0225|35
72|PR-STATE|0182|10
72|PR-STATE|0113|50
72|PR-STATE|0071|-4
72|PR-STATE|0002|-5
72|PR-STATE|0294|3
72|PR-STATE|3011|3
72|PR-STATE|0114|2
72|PR-STATE|0185|0
72|PR-STATE|0238|0
72|PR-STATE|0306|1
72|PR-STATE|0226|-2
72|PR-STATE|0074|-3
72|PR-STATE|0003|3
72031|PR-COUNTY|3010|45
72031|PR-COUNTY|0225|3
72031|PR-COUNTY|0182|2
72031|PR-COUNTY|0113|0
72031|PR-COUNTY|0293|7
72031|PR-COUNTY|0071|25
72031|PR-COUNTY|0002|3
72031|PR-COUNTY|3040|-21
72031|PR-COUNTY|3011|-11
72031|PR-COUNTY|0238|6
72031|PR-COUNTY|0181|-2
72031|PR-COUNTY|0306|-4
72031|PR-COUNTY|0185|5
72031|PR-COUNTY|0294|-5
72031|PR-COUNTY|0226|-1
72031|PR-COUNTY|0114|10
72031|PR-COUNTY|0074|3
72031|PR-COUNTY|0070|4
72031|PR-COUNTY|0003|5
72031050901|PR-TRACT|3010|1
72031050901|PR-TRACT|0113|4
72031050901|PR-TRACT|0293|4
72031050901|PR-TRACT|0071|-1
72031050901|PR-TRACT|0002|26
72031050901|PR-TRACT|0182|16
72031050901|PR-TRACT|0225|-2
72031050901|PR-TRACT|3011|7
72031050901|PR-TRACT|3040|6
72031050901|PR-TRACT|0294|7
72031050901|PR-TRACT|0114|-6
72031050901|PR-TRACT|0238|0
72031050901|PR-TRACT|0226|-3
72031050901|PR-TRACT|0181|0
72031050901|PR-TRACT|0306|1
72031050901|PR-TRACT|0074|-1
72031050901|PR-TRACT|0003|-2
72031050901|PR-TRACT|0185|-18
72031050901|PR-TRACT|0070|6
7299999|PR-PLACE|3010|4
7299999|PR-PLACE|0113|23
7299999|PR-PLACE|0182|32
7299999|PR-PLACE|0293|-5
7299999|PR-PLACE|0225|-13
7299999|PR-PLACE|0071|-17
7299999|PR-PLACE|0002|37
7299999|PR-PLACE|3011|-2
7299999|PR-PLACE|3040|0
7299999|PR-PLACE|0294|-8
7299999|PR-PLACE|0306|3
7299999|PR-PLACE|0114|4
7299999|PR-PLACE|0238|2
7299999|PR-PLACE|0185|3
7299999|PR-PLACE|0181|3
7299999|PR-PLACE|0074|7
7299999|PR-PLACE|0003|-3
7299999|PR-PLACE|0226|-4
7299999|PR-PLACE|0070|1
